danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri
0.773,0.932,8,-4.895,1,0.031,0.0358,0.901,0.0597,0.391,122.993,audio_features,spotify:track:4DIspILFDWAlU7bViTMqhS
0.585,0.918,7,-7.735,0,0.0455,0.0351,0.0114,0.0994,0.89,127.804,audio_features,spotify:track:6Zo37jPR7DCOoCOtTaA15v
0.743,0.894,10,-6.268,0,0.102,0.00841,9.54e-06,0.0263,0.853,122.021,audio_features,spotify:track:6tlzpNj1gd9QH2ZbFzBgAI
0.736,0.957,10,-5.404,0,0.0459,0.0642,0.882,0.104,0.707,119.998,audio_features,spotify:track:5cJOyRToxH8fmAzsC8vwAa
0.709,0.923,11,-5.622,1,0.0392,0.0274,0.384,0.0539,0.857,114.99,audio_features,spotify:track:3xP4g4wokqBdvVtcRl0cwb
0.761,0.762,7,-7.368,0,0.0481,0.000122,0.274,0.0869,0.896,126.571,audio_features,spotify:track:5K0lYzIuk8CLhtnr49dgiV
0.812,0.507,1,-8.825,0,0.0452,0.0399,0.0831,0.0671,0.729,114.832,audio_features,spotify:track:4yrM5BVyJzy5Ed4GPO6e8j
0.731,0.75,2,-10.457,1,0.0321,0.0862,0.000388,0.202,0.639,135.406,audio_features,spotify:track:6fBwVe6udYdnRqwqo06if8
0.816,0.835,1,-8.571,0,0.064,0.25,0.00102,0.111,0.617,122.419,audio_features,spotify:track:3cTZ1gQaFYJYPr50pCVrG6
0.686,0.609,10,-11.469,0,0.0444,0.258,0.00015,0.113,0.719,127.736,audio_features,spotify:track:1QbQL5m30YNvukitIqAnFG
0.888,0.696,3,-6.597,0,0.0608,0.00469,0.296,0.0466,0.723,118.003,audio_features,spotify:track:34aM4AadnV3foQ1cadQYr9
0.786,0.712,11,-10.068,0,0.0518,0.00189,0.887,0.0631,0.373,116.022,audio_features,spotify:track:4gLd31OPb8QoLOQLPPkYOC
0.591,0.764,1,-5.481,1,0.111,0.189,0.000449,0.0502,0.546,104.983,audio_features,spotify:track:7xFyzXCq6GKv5hpbTGLY4S
0.662,0.938,5,-7.168,0,0.0359,0.00938,0.844,0.231,0.384,121.974,audio_features,spotify:track:1swbHpmgYa7c8e9bTiYFf0
0.797,0.567,2,-7.503,1,0.0651,0.0692,0.0,0.0705,0.843,108.024,audio_features,spotify:track:24n5tZm9XnaoNAkcW5NC5B
0.74,0.631,11,-4.865,1,0.196,0.0403,2.77e-06,0.253,0.887,109.029,audio_features,spotify:track:2Cu5ExXidcoE4vF5hIYict
